timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location,focus_score,relax_score,focus_smooth,relax_smooth,state
1758960000000.0,0,8,1.7578125e-06,60,51,50,274478,27313,11276,3932,8032,6281,2543,929,Tag0,unknown,0.33661014556721125,1.0625305665435247,,,INIT
1758960000000.0,0,38,8.349609375e-06,69,61,40,12649,8409,2924,7641,6117,3627,1697,866,Tag0,unknown,0.5135448508214638,1.084256978542256,,,INIT
1758960000000.0,0,72,1.58203125e-05,30,69,33,71256,16758502,13321,9422,5869,5684,12589,1824,Tag0,unknown,0.0006884471324981736,1.968579589546561,,,INIT
1758960000000.0,0,68,1.494140625e-05,94,63,40,66329,10100,666,1579,1242,1513,764,882,Tag0,unknown,0.22316727418200347,0.8148820323720937,,,INIT
1758960000000.0,0,44,9.66796875e-06,83,75,61,9488,8839,7902,1197,2357,2280,1422,413,Tag0,unknown,0.2585015051701136,1.9622600815263618,,,INIT
1758960000000.0,0,106,2.3291015625000003e-05,47,80,42,16744972,11253,8596,2886,1398,915,5152,398,Tag0,unknown,0.10173740927636958,4.964115864693422,,,INIT
1758960000000.0,0,65,1.42822265625e-05,78,63,44,5763,17141,18293,2515,3784,5639,19036,9777,Tag0,unknown,0.24830693825269948,2.2082139443692865,,,INIT
1758960000000.0,0,44,9.66796875e-06,37,37,41,42902,12389,2880,11155,3011,5351,3441,907,Tag0,unknown,0.31645473810488745,1.6784262136237231,,,INIT
1758960000000.0,0,75,1.64794921875e-05,66,77,38,4959,2804,1011,879,597,974,2626,275,Tag0,unknown,0.33468257342678254,1.2030553779738666,,,INIT
1758960000000.0,0,52,1.142578125e-05,38,50,38,15592,2463,869,832,348,1086,825,1669,Tag0,unknown,0.344380403375509,1.1861924677920554,0.26780742853095385,1.813251311698315,RED
1758960000000.0,0,54,1.1865234375e-05,70,69,38,12399,4352,2451,836,351,2103,4150,661,Tag0,unknown,0.32124623637632593,1.3394458022251647,0.2662710376118653,1.840942835266479,RED
1758960000000.0,0,88,1.93359375e-05,64,81,38,4444,2303,16777133,3261,201,1179,3436,198,Tag0,unknown,8.222754662137545e-05,12159.705788290068,0.2149247752843811,1217.7030959664191,RED
1758960000000.0,0,52,1.142578125e-05,23,60,38,16747013,16750510,11012,6369,1746,2861,6355,7083,Tag0,unknown,0.00027475130891533857,3.772737138317183,0.21488340570202275,1217.8835117212961,RED
1758960000000.0,0,75,1.64794921875e-05,67,64,38,2956,3102,2522,340,298,756,1635,876,Tag0,unknown,0.1767270288100726,2.7153700163990795,0.21023938116482968,1218.073560519699,RED
1758960000000.0,0,86,1.8896484375000003e-05,51,77,38,2877,897,1285,1465,791,692,1657,253,Tag0,unknown,0.40663559078512873,1.8543492907253207,0.2250527897263312,1218.062769440619,RED
1758960000000.0,0,70,1.5380859375e-05,53,61,38,4520,4297,6650,969,393,1691,1571,193,Tag0,unknown,0.17489090297290275,3.655950094214995,0.2323681390959845,1217.931952863571,RED
1758960000000.0,0,69,1.51611328125e-05,38,37,38,9476,5396,1227,154,1658,402,549,1160,Tag0,unknown,0.3039693079085186,0.6703883491891319,0.23793437606156642,1217.778170304053,RED
1758960000000.0,0,57,1.25244140625e-05,38,43,38,5018,5867,443,2426,807,1215,1052,655,Tag0,unknown,0.23145604392954944,1.4188921852527734,0.22943450664403264,1217.752216901216,RED
1758960000000.0,0,53,1.1645507812500002e-05,53,70,38,7837,3123,1924,595,460,846,2511,613,Tag0,unknown,0.231478199179107,1.9287901976042952,0.21911406921926507,1217.8247903831789,RED
1758960000000.0,0,85,1.86767578125e-05,75,41,38,7425,4411,385,1027,2305,685,2904,509,Tag0,unknown,0.5134810234392099,0.4722408025176452,0.23602413122563518,1217.7533952166514,RED
1758960000000.0,0,10,2.197265625e-06,69,66,50,11317,5234,2481,4776,5610,2042,1444,1527,Tag0,unknown,0.6126010727233527,0.9483795085012572,0.26515961486033784,1217.714288587279,RED
1758960000000.0,0,66,1.4501953125e-05,63,51,39,3977,2019,873,1565,612,1069,1917,255,Tag0,unknown,0.3771595242591071,1.4503271853359148,0.3028673445315864,1.8887424768057595,RED
1758960000000.0,0,88,1.93359375e-05,34,53,41,12075,6195,649,1156,893,905,681,477,Tag0,unknown,0.22474999997190623,1.0038932141246422,0.3253148693978855,1.6118580843865054,RED
1758960000000.0,0,66,1.4501953125e-05,47,51,41,21366,15985,950,2683,700,1468,416,530,Tag0,unknown,0.1105107554230548,1.675738006607132,0.31869324205918376,1.5078948834073107,RED
1758960000000.0,0,89,1.95556640625e-05,77,96,41,2645,621,3434,5188,801,2257,731,511,Tag0,unknown,0.33084496372056205,2.819489861733326,0.31111417935272706,1.6044089405081112,RED
1758960000000.0,0,64,1.40625e-05,38,37,41,277448,73166,27021,22603,11888,12155,15639,1211,Tag0,unknown,0.19580584738011397,2.0639687226193084,0.3132056737934482,1.4452108033485427,RED
1758960000000.0,0,102,2.2412109375e-05,50,74,41,662,4218,2084,540,2151,3249,3087,177,Tag0,unknown,0.7892429113140539,0.48592592583593963,0.3617330341340017,1.4267645610132234,RED
1758960000000.0,0,119,2.6147460937500004e-05,75,43,41,16744739,8059,511,2095,6442,25762,23334,1485,Tag0,unknown,3.0195968117187437,0.08092162464038873,0.640547110912921,1.2929675049519849,RED
1758960000000.0,0,7,1.5380859375e-06,54,60,41,5672,3347,1822,2653,870,1353,6997,194,Tag0,unknown,0.2841984146913579,2.0130454331925125,0.6458191324641462,1.3013930285108066,RED
1758960000000.0,0,102,2.2412109375e-05,54,70,41,5933,4082,432,1402,1779,2866,5065,831,Tag0,unknown,0.7851588910099461,0.39483315384395407,0.6729869192212199,1.2936522636434375,RED
1758960000000.0,0,87,1.91162109375e-05,81,41,41,2530,3300,1373,377,1025,3365,5170,224,Tag0,unknown,0.8693069305209292,0.3986332573123842,0.6986575050009776,1.2386776385245502,RED
